year,total_demand_gwh,vrla_demand_gwh,lithium_demand_gwh,vrla_share_pct,lithium_share_pct,vrla_capex_per_kwh,lithium_capex_per_kwh,vrla_tco_per_kwh,lithium_tco_per_kwh,tco_advantage,region,scenario,tipping_year,vrla_installed_base_gwh,lithium_installed_base_gwh,total_installed_base_gwh,new_build_demand_gwh,replacement_demand_gwh,contestable_market_gwh,power_capacity_mw,vrla_power_capacity_mw,lithium_power_capacity_mw,annual_throughput_gwh,cycles_per_year,round_trip_efficiency_pct
2020,2.0,1.05,0.95,52.5,47.5,198.0,207.36,578.5384000361252,341.0623811203909,237.47601891573424,China,baseline,2020,4.818,0.95,5.768,0.6,1.4,0.0,500.0,262.5,237.5,1268.96,250,88.0
2021,2.5,0.8552318174003184,1.6447681825996816,34.20927269601274,65.79072730398727,198.0,265.68,578.5384000361252,422.5420555246251,155.99634451150007,China,baseline,2020,4.709631817400318,2.5156015159330147,7.225233333333333,0.795984,1.0427666666666666,0.9635999999999999,625.0,213.8079543500796,411.1920456499204,1589.551333333333,250,88.0
2022,3.63,0.7725907260841947,2.8574092739158052,21.28349107669958,78.71650892330042,198.0,274.32,578.5384000361252,434.6131183993264,143.92528163679873,China,baseline,2020,4.540296180004449,5.1633773301877355,9.703673510192186,1.0404336,1.1515598231411481,0.9419263634800636,907.5,193.14768152104867,714.3523184789514,2134.8081722422808,250,88.0
2023,4.5,0.3930046977711453,4.106995302228855,8.733437728247672,91.26656227175232,198.0,174.96,578.5384000361252,295.7958953402608,282.74250469586434,China,baseline,2020,4.025241641774705,8.840091188234279,12.865332830008985,1.5719951086511341,1.3383406801832012,0.9080592360008899,1125.0,98.25117444278632,1026.7488255572136,2830.373222601977,250,88.0
2024,5.125,0.2831905317206978,4.841809468279302,5.525668911623372,94.47433108837663,198.0,91.80000000000001,578.5384000361252,179.61191517126025,398.9264848648649,China,baseline,2020,3.503383845140462,12.94522639082739,16.448610235967852,2.315759909401617,1.541722594041131,0.805048328354941,1281.25,70.79763293017444,1210.4523670698254,3618.6942519129275,250,88.0
2025,5.5,0.2817110738681219,5.218288926131878,5.122019524874943,94.87798047512506,198.0,79.85387124750376,578.5384000361252,162.92181432859127,415.6165857075339,China,baseline,2020,3.0844181499804915,17.084746451056986,20.16916460103748,3.2897220471935706,1.7794456349303749,0.7006767690280924,1375.0,70.42776846703048,1304.5722315329695,4437.216212228245,250,88.0
2026,8.271,0.4157918800586092,7.855208119941391,5.027105308410218,94.97289469158979,198.0,69.46231757312535,578.5384000361252,148.40363171640888,430.1347683197163,China,baseline,2020,2.8833264000430026,23.516225700076962,26.399552100119966,4.437216212228246,2.040612500917514,0.6168836299960982,2067.75,103.9479700146523,1963.8020299853479,5807.901462026392,250,88.0
2027,10.512,0.5262127653034082,9.985787234696593,5.005829198091782,94.99417080190821,198.0,60.42303882393865,578.5384000361252,135.7747310076838,442.7636690284413,China,baseline,2020,2.8328738853378104,31.54232745976714,34.37520134510495,5.8079014620263925,2.5363507550150137,0.5766652800086005,2628.0,131.55319132585205,2496.446808674148,7562.544295923089,250,88.0
2028,13.366,0.6684635194999821,12.697536480500018,5.001223398922505,94.9987766010775,198.0,52.56006059509495,578.5384000361252,124.7892559402324,453.74914409589275,China,baseline,2020,2.9347626277702306,41.61133665195323,44.546099279723464,7.562544295923089,3.1951020653814903,0.5665747770675621,3341.5,167.11587987499553,3174.3841201250043,9800.141841539162,250,88.0
2029,16.98,0.8490428094889662,16.130957190511033,5.000252117131721,94.99974788286828,198.0,45.7203084043759,578.5384000361252,115.23334404884973,463.3050559872754,China,baseline,2020,3.1968529117051507,54.27468245480149,57.47153536650664,9.800141841539162,4.054563913216815,0.5869525255540461,4245.0,212.26070237224152,4032.7392976277583,12643.737780631462,250,88.0
2030,21.542,1.077111043836685,20.464888956163318,5.000051266533678,94.99994873346633,198.0,39.7706276766797,578.5384000361252,106.92096324463449,471.61743679149066,China,baseline,2020,3.634593373200806,70.21668120639802,73.85127457959882,12.643737780631461,5.162260786907821,0.6393705823410302,5385.5,269.2777609591713,5116.22223904083,16247.28040751174,250,88.0
2031,27.295,1.3647528186619133,25.93024718133809,5.0000103266602425,94.99998967333975,198.0,34.59519152424826,578.5384000361252,99.69029018907864,478.84810984704654,China,baseline,2020,4.2724275172225585,90.29553828720294,94.5679658044255,16.24728040751174,6.57830877517333,0.7269186746401612,6823.75,341.18820466547834,6482.561795334523,20804.952476973613,250,88.0
2032,34.551,1.727550714155594,32.82344928584441,5.0000020669607075,94.9999979330393,198.0,30.093245857952645,578.5384000361252,93.40055995802035,485.1378400781048,China,baseline,2020,5.145492727933641,115.59435938244711,120.73985211038075,20.80495247697361,8.379113694044758,0.8544855034445117,8637.75,431.88767853889846,8205.862321461103,26562.767464283766,250,88.0
2033,43.707,2.1853501801238853,41.52164981987612,5.00000041211679,94.99999958788321,198.0,26.17714793203078,578.5384000361252,87.92932566550986,490.6090743706153,China,baseline,2020,6.3017443624707985,147.48314592045264,153.78489028292344,26.562767464283766,10.661961827457322,1.0290985455867283,10926.75,546.3375450309713,10380.41245496903,33832.67586224316,250,88.0
2034,55.268,2.763400045324767,52.504599954675236,5.000000082009059,94.99999991799093,198.0,22.77066013715953,578.5384000361252,83.1700746986356,495.3683253374895,China,baseline,2020,7.804795535301405,187.69748371509016,195.50227925039155,33.83267586224316,13.55061103253188,1.2603488724941596,13817.0,690.8500113311917,13126.149988668809,43010.501435086146,250,88.0
2035,69.878,3.49390001139843,66.38409998860158,5.000000016311901,94.9999999836881,198.0,19.807465825854063,578.5384000361252,79.0301551567692,499.50824487935597,China,baseline,2020,9.737736439639555,238.44012672743423,248.17786316707378,43.01050143508614,17.202416083317793,1.560959107060281,17469.5,873.4750028496076,16596.024997150394,54599.12989675623,250,88.0
2036,88.366,4.4183000030176744,83.94769999698232,5.000000003414973,94.99999999658503,198.0,18.36,578.5384000361252,77.0078807362986,501.53051929982655,China,baseline,2020,12.208489154729318,302.517816163797,314.72630531852633,54.59912989675623,21.81755784854743,1.947547287927911,22091.5,1104.5750007544186,20986.92499924558,69239.7871700758,250,88.0
2037,111.793,5.589650000849239,106.20334999915077,5.000000000759652,94.99999999924034,198.0,18.36,578.5384000361252,77.0078807362986,501.53051929982655,China,baseline,2020,15.356441324632694,383.51134814929804,398.8677894739307,69.23978717007579,27.651515844595615,2.4416978309458637,27948.25,1397.4125002123096,26550.837499787693,87750.91368426476,250,88.0
2038,141.514,7.075700000239147,134.43829999976086,5.000000000168992,94.999999999831,198.0,18.36,578.5384000361252,77.0078807362986,501.53051929982655,China,baseline,2020,19.360853059945303,485.9903691366174,505.35122219656273,87.75091368426476,35.03056727736804,3.071288264926539,35378.5,1768.9250000597867,33609.57499994022,111177.2688832438,250,88.0
2039,179.28,8.964000000067402,170.3159999999326,5.000000000037597,94.9999999999624,198.0,18.36,578.5384000361252,77.0078807362986,501.53051929982655,China,baseline,2020,24.452682448023648,615.8071717084985,640.2598541565221,111.1772688832438,44.371368040040515,3.8721706119890604,44820.0,2241.0000000168507,42578.99999998315,140857.16791443486,250,88.0
2040,227.314,11.365700000018988,215.948299999981,5.000000000008353,94.99999999999164,198.0,18.36,578.5384000361252,77.0078807362986,501.53051929982655,China,baseline,2020,30.927845958437906,780.4382073994379,811.3660533578759,140.85716791443488,56.20780079864627,4.890536489604729,56828.5,2841.425000004747,53987.07499999525,178500.5317387327,250,88.0
